epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.45209,1.43538,2.20712,0.00656,0.71209,0.74193,0.80631,0.43856,1.366,1.28478,0.00724,0.0001,0.0001,0.0001
2,9.03592,1.19196,0.91119,0.00493,0.73092,0.60829,0.7604,0.43864,1.28435,1.3864,0.00671,9.93906e-05,9.93906e-05,9.93906e-05
3,14.3737,1.10568,0.86138,0.00465,0.72042,0.54881,0.71576,0.43205,1.27027,1.32246,0.0067,9.75773e-05,9.75773e-05,9.75773e-05
4,18.8334,1.0699,0.76547,0.00445,0.72885,0.62264,0.78815,0.46129,1.32025,1.20658,0.00694,9.46048e-05,9.46048e-05,9.46048e-05
5,23.4487,1.06606,0.7444,0.0044,0.76526,0.75068,0.82726,0.49296,1.28378,0.90602,0.00672,9.05463e-05,9.05463e-05,9.05463e-05
6,28.0671,1.00877,0.67767,0.00402,0.76612,0.77099,0.84767,0.50186,1.29126,0.86782,0.00676,8.55018e-05,8.55018e-05,8.55018e-05
7,32.6511,1.01442,0.71746,0.00422,0.79006,0.72906,0.84671,0.50717,1.27736,0.91491,0.0066,7.95954e-05,7.95954e-05,7.95954e-05
8,37.2562,0.95922,0.68551,0.00403,0.78919,0.71876,0.84718,0.497,1.29346,0.96838,0.00665,7.29725e-05,7.29725e-05,7.29725e-05
9,41.9151,0.93394,0.62126,0.0037,0.75308,0.71976,0.84876,0.49834,1.29661,0.98972,0.00668,6.57963e-05,6.57963e-05,6.57963e-05
10,46.3899,0.90702,0.60764,0.0037,0.79277,0.71616,0.85879,0.51336,1.28109,0.9564,0.00662,5.82435e-05,5.82435e-05,5.82435e-05
11,52.2601,0.87488,0.56472,0.00383,0.81198,0.70081,0.85341,0.51281,1.29215,1.01871,0.00669,5.05e-05,5.05e-05,5.05e-05
12,56.6421,0.83562,0.51581,0.00364,0.78622,0.7609,0.85858,0.50179,1.33099,0.90655,0.0069,4.27565e-05,4.27565e-05,4.27565e-05
13,60.9986,0.82484,0.50783,0.00369,0.75678,0.75177,0.85463,0.49261,1.3502,0.91618,0.00697,3.52037e-05,3.52037e-05,3.52037e-05
14,65.5475,0.80745,0.5092,0.00387,0.76267,0.75135,0.85517,0.49352,1.33654,0.91387,0.00691,2.80275e-05,2.80275e-05,2.80275e-05
15,69.891,0.81367,0.50933,0.0036,0.78142,0.74504,0.85496,0.49745,1.3274,0.92556,0.00688,2.14046e-05,2.14046e-05,2.14046e-05
16,74.257,0.7914,0.49094,0.00348,0.77329,0.74047,0.85316,0.49068,1.35429,0.91932,0.00704,1.54982e-05,1.54982e-05,1.54982e-05
17,78.6241,0.80364,0.47207,0.00333,0.76407,0.74234,0.85303,0.49182,1.34982,0.91959,0.00702,1.04537e-05,1.04537e-05,1.04537e-05
18,82.9812,0.79438,0.48936,0.00356,0.77804,0.73431,0.85415,0.49569,1.33775,0.9195,0.00696,6.39518e-06,6.39518e-06,6.39518e-06
19,87.3485,0.78637,0.46463,0.00342,0.77213,0.73248,0.8507,0.49436,1.33771,0.94566,0.00696,3.4227e-06,3.4227e-06,3.4227e-06
20,91.8683,0.76811,0.46184,0.00349,0.77709,0.73362,0.85453,0.49597,1.33873,0.93115,0.00696,1.60943e-06,1.60943e-06,1.60943e-06
